Comando,NomeCat,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46318,,,,,,12539,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46319,,,,,,12539,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46320,,,,,,12539,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46321,,,,,,12539,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46322,,,,,,12539,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46323,,,,,,12539,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46324,,,,,,12539,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46325,,,,,,12539,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46318,,,,,,12540,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46319,,,,,,12540,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46320,,,,,,12540,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46321,,,,,,12540,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46322,,,,,,12540,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46323,,,,,,12540,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46324,,,,,,12540,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46325,,,,,,12540,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46318,,,,,,12542,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46319,,,,,,12542,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46320,,,,,,12542,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46321,,,,,,12542,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46322,,,,,,12542,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46323,,,,,,12542,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46324,,,,,,12542,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46325,,,,,,12542,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46318,,,,,,12545,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46319,,,,,,12545,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46320,,,,,,12545,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46321,,,,,,12545,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46322,,,,,,12545,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46323,,,,,,12545,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46324,,,,,,12545,,1682750,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,JAQ-FJ45,Jaqueta FJ 45,0.8,,,,,500,5,True,,,240,,,,,,False,False,,,,46325,,,,,,12545,,1682750,,,,,,,,,,,,,,,,,,,,,,,
